Response ID,Response Status,Time Taken to Complete (Seconds),Country Code,Gender,Age,Job,Carer,I'm my own boss,"If I work hard, I will succeed",Whether at work or in my private life: what I do is mainly determined by others,Fate often gets in the way of my plans,I delay making decisions until it's too late,Even after I make a decision I delay acting upon it,I waste a lot of time on trivial matters before getting to the final decisions,"In preparation for some deadlines, I often waste time by doing other things","Even jobs that require little else except sitting down and doing them, I find that they seldom get done for days",I often find myself performing tasks that I had intended to do days before,I am continually saying ‘’I’ll do it tomorrow,I generally delay before starting on work I have to do,I find myself running out of time,I don’t get things done on time,I am not very good at meeting deadlines,Putting things off till the last minute has cost me money in the past,There aren’t enough hours in the day,I have enough time to do the things that I want to do,I feel pressured to fit everything in,The days fly by without me ever getting everything done,I am often in a hurry,I feel in control of how I spend my time,I should have more free time to do the things I enjoy,I worry about how well I use my time,I have enough time to properly prepare for things,I think I wont finish work that I set out to do,I feel disappointed with how I spend my time,I always run out of time,I feel rushed to do the things that I have to do,IM1,IM2,IM3,IM4,IM5,Using digital technology helps me to deepen relationships with others,Using digital technology enhances my mental wellbeing,I am able to improve my mood using digital technology.,Using digital technology makes it easy to complete tasks in my life,Using digital technology makes my life enjoyable,Using digital technology makes me feel closer to people,Using digital technology enables me to do more with less effort,By using digital technology I save time on everyday tasks,Using digital technology makes me feel supported by other people,Using digital technology helps me feel part of other people's lives,Using digital technology makes me feel more connected to other people,Using digital technology helps me to bond with others,Using digital technology helps me to take care of my mental wellbeing,Digital technology use increases my sense of belonging to a group,Using digital technology strengthens my attachment to others,Using digital technology saves my time,Using digital technology makes my social life more fulfilling,Using digital technology helps me to relax,I can meet my needs more quickly using digital technology,I feel closer to people like me because I use digital technology,I complete tasks more quickly when using digital technology,I achieve more in less time when I use digital technology,Using digital technology helps me to complete tasks efficiently,I find it easy to form deep connections with others when using digital technology,I experience a greater sense of community thanks to using digital technology,Using digital technology makes my life easier
44312687,Completed,339,US,1,18,5,2,4,4,2,2,5,5,4,5,5,5,5,5,4,4,5,5,4,3,3,4,4,3,4,3,4,4,3,3,4,32,4,61,57,64,4,4,3,3,4,4,4,4,3,3,3,3,2,2,4,4,3,4,4,3,4,4,4,4,3,4
44314188,Completed,372,GB,1,18,5,1,1,4,3,2,1,2,2,4,4,4,4,4,4,2,1,1,4,3,4,4,2,3,4,4,3,3,3,2,4,14,21,77,48,50,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,3,3,3,3,4
44336138,Completed,1829,GB,3,24,3,2,3,5,2,2,2,2,4,4,5,5,5,5,5,2,2,4,2,4,2,2,4,3,2,4,4,1,3,1,4,91,70,96,96,100,4,4,4,2,4,4,2,2,2,2,2,4,4,4,4,2,4,4,4,5,2,2,2,5,5,5
44337027,Completed,414,GB,1,20,5,1,1,5,3,2,2,3,4,4,4,4,4,4,4,2,1,3,3,4,5,4,3,4,3,5,3,3,4,4,4,20,57,45,31,50,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4
44354210,Completed,418,GB,1,20,3,2,2,4,3,4,2,2,2,3,2,4,3,3,2,1,1,3,3,4,4,4,4,5,4,3,2,3,4,3,3,70,100,90,80,100,4,5,5,5,4,3,4,3,5,3,4,4,5,5,2,2,3,4,5,5,5,3,5,4,5,5
44448587,Completed,398,GB,1,19,2,2,3,4,3,2,3,2,2,3,3,3,4,4,2,2,2,2,4,2,4,3,3,4,4,3,3,3,3,2,4,50,70,21,70,10,4,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,4,3,4,3,3,4,4,4,3
44453556,Completed,406,GB,1,18,2,2,3,4,2,2,2,4,4,4,2,4,4,4,2,2,2,3,2,4,3,3,3,4,2,4,4,2,2,2,4,28,30,25,31,59,4,4,3,3,3,4,4,4,4,4,5,4,3,4,4,5,4,3,4,3,2,3,3,4,4,4
44464298,Completed,328,GB,2,18,5,2,3,4,4,4,3,4,4,5,4,2,4,4,2,1,1,2,4,4,3,4,3,4,2,4,4,4,5,2,4,70,17,90,79,87,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,2,4,4,4,4,4,5,3,3,4
44492507,Completed,1159,GB,1,19,2,2,2,4,3,3,4,5,4,4,3,4,4,4,4,3,2,2,5,2,4,2,4,3,4,5,4,2,5,2,4,38,100,82,38,13,4,2,4,2,4,2,4,1,2,3,2,4,2,3,2,2,4,4,3,4,2,3,3,2,4,4
44531540,Completed,583,GB,1,19,2,2,5,5,3,1,4,1,4,1,1,1,2,3,5,2,3,4,5,1,5,5,5,3,4,5,2,2,2,3,3,70,100,50,40,50,5,1,3,3,3,5,5,3,2,3,5,5,1,4,5,3,3,5,4,5,3,4,4,5,5,4
44536300,Completed,335,GB,1,18,5,2,2,4,2,3,3,4,3,4,4,5,4,4,2,2,3,1,4,3,4,2,4,4,3,2,4,3,4,3,4,34,75,60,70,62,4,4,4,3,3,4,5,2,4,4,4,4,5,5,4,3,4,5,5,3,4,4,5,4,5,5
44555595,Completed,346,GB,1,18,2,2,2,5,3,2,3,3,4,2,3,4,2,3,4,1,1,2,1,3,4,3,4,3,3,4,4,2,2,2,4,40,40,50,50,20,4,4,3,4,3,4,4,4,3,3,3,4,2,4,2,3,3,4,3,4,4,4,4,2,4,3
44567499,Started,914,GB,1,18,5,2,1,5,2,3,2,2,2,4,3,4,4,4,2,1,1,1,2,4,3,3,2,4,4,2,4,1,1,1,3,50,86,72,64,21,2,2,1,4,3,2,4,4,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4
44635601,Completed,545,GB,1,20,2,2,1,3,2,1,4,3,3,5,3,4,5,5,5,2,2,4,4,3,4,5,3,2,4,4,3,3,4,4,4,60,70,65,61,54,4,3,2,5,3,4,4,4,3,4,4,4,3,3,4,3,2,3,3,4,4,3,3,3,4,3
44705219,Completed,359,GB,1,19,2,2,3,4,2,3,2,4,2,4,4,4,4,4,2,2,4,2,4,3,3,3,2,4,3,4,4,2,3,3,3,60,75,40,70,70,4,3,3,4,4,5,4,3,3,3,4,3,2,3,2,4,4,3,4,3,4,4,4,2,4,4
44710750,Completed,272,GB,1,19,2,2,1,2,2,2,2,3,2,3,4,4,4,4,3,2,2,1,4,2,3,3,3,3,4,4,3,3,4,3,4,40,20,80,60,80,3,3,3,4,4,4,3,2,3,4,4,4,3,4,3,2,3,3,2,3,2,2,3,1,1,2
44710870,Completed,521,GB,1,19,2,2,2,2,4,3,3,4,3,4,4,4,4,4,4,3,2,3,2,4,3,2,2,3,3,4,4,4,4,3,3,60,60,80,60,50,3,2,3,3,3,2,3,2,3,4,3,3,2,2,4,3,2,3,3,2,3,2,3,2,2,4
44716251,Completed,473,GB,1,18,5,2,3,5,2,2,2,4,2,5,4,4,4,4,4,2,2,2,2,4,4,4,4,3,4,4,3,4,3,2,3,80,80,65,80,60,4,3,3,4,4,4,3,3,4,4,4,4,3,4,3,4,3,4,4,4,4,3,3,4,4,3
44931057,Completed,402,GB,1,20,2,2,1,4,4,4,4,4,5,5,5,5,5,5,5,2,2,4,5,1,5,4,5,2,4,5,3,4,3,4,4,30,71,50,54,50,3,5,4,5,5,3,5,5,3,3,3,3,3,3,3,5,4,3,5,3,5,5,5,3,3,5
44932327,Completed,264,GB,1,18,2,2,4,5,3,2,4,4,5,2,4,5,5,5,3,2,1,4,5,5,5,5,5,2,4,4,2,4,3,3,4,5,78,87,91,77,4,2,4,4,4,2,4,2,3,4,4,4,4,4,2,4,2,3,3,4,2,4,3,2,4,4
44978390,Completed,293,GB,1,18,2,2,4,5,3,1,1,2,2,2,1,1,1,2,2,1,1,1,1,4,2,1,2,4,4,2,2,1,1,1,1,15,30,15,20,10,3,2,2,3,3,1,2,3,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,3,3
44981012,Completed,303,GB,1,18,2,2,1,4,3,1,3,4,4,4,4,4,4,4,4,4,3,2,4,3,4,4,4,3,4,4,4,5,3,3,4,26,21,26,21,51,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4
44985097,Completed,316,GB,1,18,5,2,1,4,2,1,4,5,3,5,5,5,5,5,5,2,2,5,5,2,4,5,5,2,5,5,2,4,4,5,5,65,55,75,70,81,4,2,3,3,3,4,4,3,3,3,4,4,2,3,3,4,3,3,3,3,4,4,3,3,3,4
44994866,Completed,265,GB,1,18,2,2,1,3,1,2,4,4,4,4,2,3,5,5,3,2,3,3,3,4,4,4,4,1,5,3,3,5,3,3,4,38,15,75,33,80,4,3,4,4,4,4,4,4,3,5,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4
45003778,Completed,210,GB,1,19,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,15,14,18,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
45020721,Completed,656,GB,2,19,2,2,1,4,2,1,2,2,3,3,2,2,2,2,3,2,2,1,3,2,3,2,4,3,4,4,4,2,4,1,2,2,79,69,64,13,3,2,3,4,3,2,4,4,2,2,2,2,2,2,2,4,2,4,4,2,4,4,4,2,1,4
45085459,Completed,343,GB,1,18,5,2,1,4,2,2,1,2,4,1,1,1,1,1,1,1,1,1,1,4,3,2,2,4,3,2,4,2,2,1,1,15,75,0,30,25,2,2,3,4,3,3,4,4,3,3,4,3,3,3,3,4,2,4,4,2,4,4,4,2,2,4
45087930,Completed,395,GB,1,18,5,2,1,3,4,2,2,2,4,5,4,4,4,5,4,2,1,2,4,3,4,5,3,2,4,4,2,4,4,3,4,70,55,81,78,89,3,2,3,4,3,3,2,2,1,4,4,3,2,2,3,3,1,4,3,3,2,2,3,2,2,3
45088097,Completed,398,GB,1,18,5,2,3,3,2,1,2,3,4,4,2,3,4,2,2,1,1,1,2,3,3,2,2,4,3,4,4,4,2,1,1,29,20,20,30,9,4,3,4,3,2,4,3,2,4,4,4,4,2,3,4,3,2,3,2,4,2,4,2,3,3,2
45316385,Completed,832,GB,1,22,2,2,1,3,2,1,2,4,5,4,4,5,5,4,4,3,4,2,4,2,4,3,4,2,4,4,2,1,2,2,4,50,75,60,30,60,4,2,2,4,2,2,4,4,4,2,2,2,2,2,2,4,2,3,4,2,4,4,4,2,2,4
45574992,Completed,296,GB,2,24,1,2,5,5,2,2,2,2,1,1,2,4,1,1,4,1,1,1,4,3,4,3,4,4,5,2,4,1,2,2,2,75,10,90,75,65,4,2,4,5,4,2,5,5,2,1,2,2,1,2,1,4,4,2,5,2,4,4,4,2,2,4
45575415,Completed,201,GB,2,22,1,2,5,5,3,3,4,4,4,4,4,1,5,4,5,4,4,5,5,1,4,5,4,1,4,4,1,4,4,5,4,80,73,93,93,88,5,4,4,5,5,4,5,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,5
45576280,Completed,850,GB,2,25,1,2,2,4,2,4,4,4,4,5,4,4,5,5,4,5,5,5,5,1,4,5,4,1,5,5,1,4,5,5,5,15,15,63,12,65,2,2,2,3,4,2,4,4,2,2,2,2,4,2,2,4,2,4,4,2,4,4,4,1,2,4
45577095,Completed,529,GB,1,48,1,1,4,4,2,2,1,1,1,1,1,4,1,1,2,1,1,1,2,4,2,2,1,4,4,2,4,1,2,1,1,15,50,20,15,30,4,2,2,4,2,4,4,4,2,2,2,2,2,2,2,4,2,4,4,2,4,4,4,2,2,4
45587819,Completed,263,GB,2,21,1,2,4,5,3,3,2,3,2,2,1,2,4,4,2,4,2,2,4,2,4,4,2,2,5,4,2,2,3,4,4,99,15,98,83,62,5,4,4,5,4,4,5,5,4,4,4,3,4,4,3,5,5,5,5,4,5,5,5,4,4,5
45892668,Completed,289,GB,2,23,1,2,3,3,2,1,2,3,3,2,1,3,1,2,4,1,2,1,4,2,3,2,1,4,5,3,3,2,2,2,1,75,0,85,82,54,5,4,3,4,5,4,4,4,3,3,4,3,3,3,3,4,5,4,4,4,4,5,4,3,3,4
45893074,Completed,257,GB,2,20,1,2,3,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,3,2,5,4,2,4,3,3,3,76,10,79,79,38,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,4,2,3,4
45893452,Completed,437,GB,2,21,1,2,5,5,4,4,1,1,4,2,4,1,4,4,4,2,2,1,5,1,4,5,3,2,5,3,2,2,3,4,2,80,20,80,80,70,5,4,5,4,4,4,5,5,4,4,5,4,3,4,3,4,5,3,4,3,4,4,4,3,4,3
45893986,Completed,730,GB,2,22,1,2,3,2,4,4,4,4,5,5,5,1,4,5,4,4,4,4,5,1,4,5,4,2,5,4,2,4,5,5,4,81,73,85,80,55,4,4,4,5,5,4,5,2,4,4,4,4,3,3,4,4,5,4,4,3,4,4,4,2,3,4
45894711,Completed,1358,GB,2,22,1,2,4,4,2,3,3,2,2,2,1,3,2,2,2,1,1,1,4,4,2,4,2,3,4,3,4,2,2,4,3,68,53,80,60,66,4,3,4,4,4,4,4,4,3,3,3,4,3,2,3,4,4,4,4,3,4,4,4,2,3,3
46058384,Completed,273,GB,1,19,2,2,1,4,4,2,3,2,2,4,4,4,4,4,4,2,3,1,5,4,4,4,4,3,4,4,3,3,3,2,4,84,36,87,86,84,3,3,3,4,3,3,4,4,4,2,3,4,2,3,3,4,4,3,4,4,4,4,4,3,4,4
46489724,Completed,480,GB,1,19,2,2,2,4,3,2,4,4,4,4,4,4,4,4,4,2,2,2,4,3,4,4,3,3,3,4,2,4,4,2,4,61,34,59,77,72,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
46754296,Completed,543,GB,1,18,2,2,1,5,3,2,4,3,3,4,3,2,5,4,3,2,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,50,30,70,80,40,3,3,3,3,2,2,3,2,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2
46954027,Completed,480,GB,1,18,2,2,4,5,3,4,4,4,4,2,4,4,4,2,3,2,1,1,5,2,5,4,4,4,4,5,3,3,4,3,5,15,7,46,80,60,4,2,4,2,4,3,3,3,4,5,4,4,3,2,3,2,3,3,3,3,3,3,4,2,2,4
46962948,Completed,327,GB,1,18,5,2,1,4,3,1,4,4,4,5,3,5,5,4,3,2,2,4,4,3,3,4,5,2,4,4,3,2,3,3,4,58,20,75,78,56,4,4,4,3,4,4,4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,4
47040897,Completed,222,GB,2,23,1,2,4,4,3,3,4,2,4,4,2,2,4,4,5,3,3,1,5,2,4,4,2,2,5,4,2,4,4,4,4,32,4,64,33,52,3,3,4,4,4,2,4,5,3,3,3,3,3,2,2,4,4,4,4,4,5,5,4,2,3,4
47041373,Completed,298,GB,2,19,5,2,3,5,3,3,2,2,2,2,2,4,2,2,4,1,1,1,4,3,4,4,2,3,5,4,3,2,3,3,2,50,14,74,63,57,4,4,5,5,5,4,5,5,3,3,3,3,4,3,2,5,5,4,5,3,5,5,5,3,3,5
47042033,Completed,480,GB,1,20,2,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,5,2,4,4,3,2,5,4,2,4,4,4,4,69,32,69,69,76,4,4,4,5,5,4,5,5,5,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,4,5
47062989,Completed,297,GB,2,21,1,2,4,5,3,4,2,2,2,2,3,3,4,2,5,2,2,2,4,2,4,4,2,4,5,4,3,2,3,4,2,30,24,58,63,49,3,3,4,4,4,4,5,5,3,4,4,4,3,2,2,4,5,4,4,2,5,4,4,2,3,4
47063407,Completed,485,GB,2,24,1,2,3,3,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,2,4,4,4,2,5,4,2,4,4,4,4,31,21,52,35,44,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,4,4,4,5,3,2,4
47083112,Completed,265,GB,1,18,2,2,1,5,1,3,3,4,4,5,4,4,5,5,2,1,4,1,5,1,5,5,5,2,3,5,3,5,2,2,4,51,10,12,61,19,5,3,2,5,4,5,5,5,4,5,5,5,2,5,4,5,4,2,5,5,5,5,5,5,5,5
47100585,Completed,516,GB,1,18,2,2,1,2,3,1,4,4,4,5,5,5,5,5,5,5,2,2,4,4,4,4,5,4,3,4,2,4,4,4,4,50,30,50,45,60,4,2,4,4,2,4,4,4,2,4,4,4,2,3,4,2,4,4,4,4,4,4,4,4,3,4
47144921,Completed,233,GB,2,21,5,2,4,5,3,3,3,4,2,4,1,4,2,4,5,2,1,1,5,2,4,4,2,2,5,4,2,2,4,4,4,77,11,87,78,62,2,3,4,5,4,2,5,5,2,3,3,3,2,3,3,4,4,4,5,3,4,4,4,3,2,4
47145836,Completed,402,GB,1,22,1,2,3,4,3,4,4,4,4,4,4,2,2,4,5,2,2,1,5,3,4,4,4,3,4,4,3,4,4,4,4,80,88,76,86,82,4,4,4,4,4,3,5,4,4,3,3,4,4,2,2,4,4,4,4,2,4,4,4,2,2,4
47185763,Completed,378,GB,1,18,2,2,3,3,5,3,4,4,4,5,4,4,5,4,4,5,4,3,5,3,3,4,4,2,4,4,2,4,5,5,5,29,6,23,62,50,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
47191638,Completed,502,GB,1,19,2,2,4,3,3,3,5,4,5,3,2,2,3,2,3,1,1,3,5,1,3,2,4,5,5,5,3,4,5,4,3,24,15,80,92,50,4,4,4,4,4,2,4,4,3,2,2,2,3,2,2,4,3,4,4,3,4,4,4,2,2,4
47232079,Started,316,GB,1,19,5,2,1,5,2,2,3,3,3,4,2,3,3,4,4,2,3,1,2,2,4,4,3,2,4,4,2,4,4,3,4,49,74,85,50,46,2,2,2,4,3,3,4,3,2,2,2,2,2,2,2,4,2,4,3,2,4,4,4,2,2,4
47268000,Completed,304,GB,2,26,1,2,5,5,3,5,2,1,3,2,2,3,3,2,4,2,1,1,2,3,4,4,2,3,5,4,2,2,3,4,4,63,15,81,75,90,4,3,4,4,4,3,5,4,4,4,3,3,2,2,2,4,4,3,4,4,4,4,4,4,4,4
47270042,Completed,406,GB,2,25,1,2,5,5,2,3,3,2,4,4,3,2,3,3,4,2,1,2,4,4,4,4,4,2,4,4,2,3,4,4,4,39,66,76,65,76,4,4,4,4,4,4,4,4,4,4,4,3,3,4,1,4,4,4,4,3,4,4,4,2,5,4
47272661,Completed,325,GB,1,20,2,2,2,2,4,5,4,4,5,5,5,1,5,4,5,4,4,2,5,2,4,4,4,2,5,4,2,4,4,5,4,80,55,93,69,87,5,4,5,5,4,4,5,5,4,3,4,3,4,3,4,5,5,5,5,4,5,5,5,3,4,5
47341583,Started,375,GB,1,18,2,2,4,4,3,3,1,2,3,3,2,3,3,3,2,1,1,1,3,4,4,4,2,4,3,4,4,2,3,2,2,49,50,64,51,50,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
47503263,Completed,438,GB,1,20,2,2,4,3,3,3,4,4,3,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,2,5,5,5,5,31,14,58,50,74,3,1,4,3,3,4,4,2,3,4,4,5,3,4,4,2,4,4,3,4,2,2,4,3,3,3
47586576,Completed,1588,GB,1,19,2,2,2,4,2,1,3,1,3,4,2,2,2,3,2,1,2,3,2,4,4,3,4,4,2,2,4,2,2,2,4,25,12,36,39,43,3,2,4,4,4,3,5,4,2,3,4,3,2,3,3,4,3,4,4,3,4,4,4,3,3,3
47629556,Completed,308,GB,1,18,5,2,3,4,2,2,3,3,2,5,5,4,5,5,5,3,2,4,2,2,2,4,2,4,4,2,2,4,4,4,4,33,22,83,50,83,3,3,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
47769090,Completed,677,GB,1,20,2,2,3,4,3,4,4,4,4,4,3,3,3,3,4,4,3,2,2,2,4,4,4,3,4,4,2,4,4,3,3,45,53,82,65,50,4,3,4,2,4,4,3,2,4,4,4,4,3,4,4,4,4,5,4,4,4,3,4,4,4,4
47775610,Completed,618,GB,1,18,2,2,1,5,2,3,3,3,3,3,4,3,4,3,4,1,1,1,4,3,4,4,4,2,4,4,2,4,4,3,4,67,78,39,85,100,4,2,3,4,3,4,4,3,4,4,4,4,3,2,4,4,3,4,3,4,4,4,4,3,4,4
47799871,Started,277,GB,1,18,5,2,1,5,2,1,3,4,2,4,1,3,4,5,4,3,2,1,2,4,3,1,3,4,3,3,4,4,3,3,4,50,50,39,50,24,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,2
47877990,Completed,384,GB,1,19,5,2,2,3,2,4,4,5,5,5,5,5,5,5,5,3,2,1,4,2,5,5,3,2,4,5,2,5,5,3,5,45,80,91,79,51,5,4,4,4,4,5,5,4,3,5,5,5,4,4,5,4,4,4,3,4,3,4,3,5,4,4
47885860,Started,419,GB,1,19,5,2,4,4,4,4,4,2,2,4,4,4,5,5,3,2,1,1,4,3,5,5,3,3,5,5,4,4,3,3,4,51,75,76,65,55,4,3,5,5,3,5,4,3,3,4,5,5,3,4,4,2,3,5,4,4,5,5,5,4,4,4
